MSG_JOB_NAME_01	戰士
MSG_MAGIC_NAME_57	<IC_BMGC>大暴雪
MSG_MAGIC_NAME_58	<IC_BMGC>石化
MSG_MAGIC_NAME_59	<IC_BMGC>勇猛
MSG_MAGIC_NAME_60	<IC_BMGC>盲目
MSG_MAGIC_NAME_61	<IC_BMGC>核爆
MSG_MAGIC_NAME_62	<IC_BMGC>停止
MSG_MAGIC_NAME_63	<IC_BMGC>異次元
MSG_MAGIC_NAME_64	<IC_BMGC>誅殺
MSG_MAG_INF_01	恢復我方一名成員的少量ＨＰ
MSG_MAG_INF_02	對全體不死系敵人造成傷害
MSG_MAG_INF_03	提高我方一名成員的防禦力
MSG_MAG_INF_04	提高自己的閃避率
MSG_MAG_INF_05	令我方一名成員從失明狀態中恢復
MSG_MAG_INF_06	令全體敵人變為沉默狀態
MSG_MAG_INF_07	使我方全體成員受到的雷屬性傷害減半
MSG_MAG_INF_08	提高我方一名成員的閃避率
MSG_MAG_INF_09	恢復我方一名成員的ＨＰ
MSG_MAG_INF_10	對全體不死系敵人造成傷害
MSG_MAG_INF_11	使我方全體成員受到的火屬性傷害減半
MSG_MAG_INF_12	恢復我方全體成員的ＨＰ
MSG_MAG_INF_13	令我方一名成員從中毒狀態中恢復
MSG_MAG_INF_14	令全體敵人感到恐懼
MSG_MAG_INF_15	使我方全體成員受到的冰屬性傷害減半
MSG_MAG_INF_16	令我方一名成員從沉默狀態中恢復
MSG_MAG_INF_17	恢復我方一名成員的ＨＰ
MSG_MAG_INF_18	令我方一名成員從無法戰鬥狀態中恢復
MSG_MAG_INF_19	對全體不死系敵人造成傷害
MSG_MAG_INF_20	恢復我方全體成員的ＨＰ
MSG_MAG_INF_21	令我方一名成員從石化狀態中恢復
MSG_MAG_INF_22	在迷宮中時可以瞬間傳送到迷宮之外
MSG_MAG_INF_23	提高我方全體成員的防禦力
MSG_MAG_INF_24	提高我方全體成員的閃避率
MSG_MAG_INF_25	完全恢復我方一名成員的ＨＰ並消除部分異常狀態
MSG_MAG_INF_26	對全體不死系敵人造成傷害
MSG_MAG_INF_27	使我方全體成員能夠有效閃避敵人的致死一擊
MSG_MAG_INF_28	恢復我方全體成員的ＨＰ
MSG_MAG_INF_29	令我方一名成員從無法戰鬥狀態中恢復並完全恢復ＨＰ
MSG_MAG_INF_30	以神聖之光對全體敵人造成傷害
MSG_MAG_INF_31	令我方一名成員受到的所有魔法傷害都減半
MSG_MAG_INF_32	消除單體敵人的魔法防禦
MSG_MAG_INF_33	用火焰對單體敵人造成傷害
MSG_MAG_INF_34	令全體敵人變為睡眠狀態
MSG_MAG_INF_35	令單體敵人的動作變簡單　降低閃避率
MSG_MAG_INF_36	用閃電對單體敵人造成傷害
MSG_MAG_INF_37	用寒氣對單體敵人造成傷害
MSG_MAG_INF_38	令全體敵人變為失明狀態
MSG_MAG_INF_39	提高我方一名成員的攻擊力
MSG_MAG_INF_40	降低全體敵人的速度　減少攻擊次數
MSG_MAG_INF_41	用火焰對全體敵人造成傷害
MSG_MAG_INF_42	令單體敵人變為麻痹狀態
MSG_MAG_INF_43	用閃電對全體敵人造成傷害
MSG_MAG_INF_44	令全體敵人的動作變簡單　降低閃避率
MSG_MAG_INF_45	令單體敵人變為睡眠狀態
MSG_MAG_INF_46	提高我方一名成員的速度　攻擊次數變為２倍
MSG_MAG_INF_47	擾亂全體敵人的內心　令其變為混亂狀態
MSG_MAG_INF_48	用寒氣對全體敵人造成傷害
MSG_MAG_INF_49	用火焰對全體敵人造成傷害
MSG_MAG_INF_50	用毒霧瞬殺全體敵人
MSG_MAG_INF_51	在迷宮中時可以瞬間傳送到前一層迷宮
MSG_MAG_INF_52	降低單體敵人的速度　減少攻擊次數
MSG_MAG_INF_53	用閃電對全體敵人造成傷害
MSG_MAG_INF_54	對單體敵人進行致死一擊
MSG_MAG_INF_55	大地分裂吞噬全體敵人
MSG_MAG_INF_56	令單體敵人變為麻痹狀態
MSG_MAG_INF_57	用寒氣對全體敵人造成傷害
MSG_MAG_INF_58	令單體敵人變為石化狀態
MSG_MAG_INF_59	提高自己的攻擊力和命中率
MSG_MAG_INF_60	令單體敵人變為失明狀態
MSG_MAG_INF_61	用強光和高熱對全體敵人造成傷害
MSG_MAG_INF_62	停止全體敵人的時間　令其變為麻痹狀態
MSG_MAG_INF_63	將全體敵人投入異次元之中
MSG_MAG_INF_64	對單體敵人進行致死一擊
MSG_ITEM_NAME_01	<IC_DRAG>治療劑
MSG_ITEM_NAME_02	<IC_BAG>解毒藥
MSG_ITEM_NAME_03	<IC_BAG>金針
MSG_ITEM_NAME_04	<IC_TENTO>睡袋
MSG_ITEM_NAME_05	<IC_TENTO>帳篷
MSG_ITEM_NAME_06	<IC_TENTO>小屋
MSG_ITEM_NAME_07	<IC_DRAG>高級治療劑
MSG_ITEM_NAME_08	<IC_DRAG>特級治療劑
MSG_ITEM_NAME_09	<IC_DRAG>乙太
MSG_ITEM_NAME_11	<IC_DRAG>特級乙太
MSG_ITEM_NAME_12	<IC_DRAG>萬靈藥
MSG_ITEM_NAME_14	<IC_BAG>鳳凰尾巴
MSG_ITEM_NAME_15	<IC_BAG>萬能藥
MSG_ITEM_NAME_16	<IC_BAG>眼藥
MSG_ITEM_NAME_17	<IC_BAG>山彥草
MSG_ITEM_NAME_39	<IC_BAG>力量之藥
MSG_ITEM_NAME_40	<IC_BAG>巨人之藥
MSG_ITEM_NAME_42	<IC_BAG>守護之飲
MSG_ITEM_NAME_43	<IC_BAG>速度之飲
MSG_ITEM_INF_01	恢復５０ＨＰ
MSG_ITEM_INF_02	治療中毒狀態
MSG_ITEM_INF_03	治療石化狀態
MSG_ITEM_INF_04	少量恢復全體人員的ＨＰ\n只能在大地圖上使用
MSG_ITEM_INF_05	少量恢復全體人員的ＨＰ和ＭＰ\n只能在大地圖上使用
MSG_ITEM_INF_06	完全恢復全體人員的ＨＰ和ＭＰ\n只能在大地圖上使用
MSG_ITEM_INF_07	恢復１５０ＨＰ
MSG_ITEM_INF_08	恢復全部ＨＰ
MSG_ITEM_INF_09	ＭＰ隨魔法等級恢復，每級恢復１次
MSG_ITEM_INF_11	ＭＰ隨魔法等級恢復，每級恢復５次
MSG_ITEM_INF_12	恢復全部ＨＰ和ＭＰ
MSG_ITEM_INF_14	治療無法戰鬥狀態
MSG_ITEM_INF_15	治療除無法戰鬥和石化以外的異常狀態
MSG_ITEM_INF_16	治療失明狀態
MSG_ITEM_INF_17	治療沉默狀態
MSG_ITEM_INF_39	戰鬥中一定時間內提高攻擊力
MSG_ITEM_INF_40	戰鬥中一定時間內提高最大ＨＰ
MSG_ITEM_INF_42	戰鬥中一定時間內提高防禦力
MSG_ITEM_INF_43	戰鬥中一定時間內提高速度
MSG_WEAPON_NAME_01	<IC_NIF>匕首
MSG_WEAPON_NAME_02	<IC_WND>法杖
MSG_WEAPON_NAME_03	<IC_WND>治癒之杖
MSG_WEAPON_NAME_04	<IC_NIF>短劍
MSG_WEAPON_NAME_05	<IC_HMR>大鎚
MSG_WEAPON_NAME_06	<IC_SRD>細劍
MSG_WEAPON_NAME_07	<IC_KTN>彎刀
MSG_WEAPON_NAME_08	<IC_NIF>秘銀匕首
MSG_WEAPON_NAME_09	<IC_NCK>雙節棍
MSG_WEAPON_NAME_10	<IC_WND>力量之杖
MSG_WEAPON_NAME_11	<IC_HMR>秘銀鎚
MSG_WEAPON_NAME_12	<IC_WND>魔術之杖
MSG_WEAPON_NAME_13	<IC_SRD>佩劍
MSG_WEAPON_NAME_14	<IC_WND>錫杖
MSG_WEAPON_NAME_15	<IC_KTN>彎刃大刀
MSG_WEAPON_NAME_16	<IC_SRD>寬刃劍
MSG_WEAPON_NAME_17	<IC_WND>魔導師之杖
MSG_WEAPON_NAME_18	<IC_NCK>鐵雙節棍
MSG_WEAPON_NAME_19	<IC_AX>戰斧
MSG_WEAPON_NAME_20	<IC_SRD>符文之劍
MSG_WEAPON_NAME_21	<IC_SRD>鎮獸劍
MSG_WEAPON_NAME_22	<IC_HMR>雷神之鎚
MSG_WEAPON_NAME_23	<IC_SRD>斬龍劍
MSG_WEAPON_NAME_24	<IC_SRD>珊瑚劍
MSG_WEAPON_NAME_25	<IC_SRD>長劍
MSG_WEAPON_NAME_26	<IC_SRD>巨劍
MSG_WEAPON_NAME_27	<IC_AX>大斧
MSG_WEAPON_NAME_28	<IC_SRD>破壞佩劍
MSG_WEAPON_NAME_29	<IC_CLW>貓爪
MSG_WEAPON_NAME_30	<IC_SRD>秘銀劍
MSG_WEAPON_NAME_31	<IC_SRD>圓月刀
MSG_WEAPON_NAME_32	<IC_AX>秘銀斧
MSG_WEAPON_NAME_33	<IC_SRD>火焰劍
MSG_WEAPON_NAME_34	<IC_AX>明光斧
MSG_WEAPON_NAME_35	<IC_SRD>冰印劍
MSG_WEAPON_NAME_36	<IC_SRD>守護者
MSG_WEAPON_NAME_37	<IC_SRD>太陽劍
MSG_WEAPON_NAME_38	<IC_KTN>佐助之刀
MSG_WEAPON_NAME_39	<IC_SRD>石中劍
MSG_WEAPON_NAME_40	<IC_KTN>正宗
MSG_WEAPON_INF_01	小型的匕首
MSG_WEAPON_INF_02	木製的手杖
MSG_WEAPON_INF_03	使用可得到「治癒」效果的手杖
MSG_WEAPON_INF_04	大型的匕首
MSG_WEAPON_INF_05	戰鬥用的大鎚
MSG_WEAPON_INF_06	細長的劍
MSG_WEAPON_INF_07	弧形刀身的刀
MSG_WEAPON_INF_08	秘銀製的匕首
MSG_WEAPON_INF_09	木製的雙節棍
MSG_WEAPON_INF_10	攻擊力很高的手杖
MSG_WEAPON_INF_11	秘銀製的大鎚
MSG_WEAPON_INF_12	使用可得到「中火焰」效果的手杖
MSG_WEAPON_INF_13	長刃可用來刺殺敵人的劍
MSG_WEAPON_INF_14	頂端帶有鐵環的手杖
MSG_WEAPON_INF_15	劍鋒幅度很寬大的刀
MSG_WEAPON_INF_16	寬幅的雙刃劍
MSG_WEAPON_INF_17	使用可得到「混亂」效果的手杖
MSG_WEAPON_INF_18	鐵製的雙節棍
MSG_WEAPON_INF_19	戰鬥用的大斧
MSG_WEAPON_INF_20	對魔法種有特效的劍
MSG_WEAPON_INF_21	對獸種有特效的劍
MSG_WEAPON_INF_22	使用可得到「中雷電」效果的大鎚
MSG_WEAPON_INF_23	對飛龍種有特效的劍
MSG_WEAPON_INF_24	對水生種有特效的劍
MSG_WEAPON_INF_25	大型的雙刃劍
MSG_WEAPON_INF_26	對巨人族有特效的劍
MSG_WEAPON_INF_27	大型的戰鬥用大斧
MSG_WEAPON_INF_28	使用可得到「毒霧」效果的佩劍
MSG_WEAPON_INF_29	最鋒利的匕首
MSG_WEAPON_INF_30	秘銀製的劍
MSG_WEAPON_INF_31	很鋒利的圓月刀
MSG_WEAPON_INF_32	秘銀製的大斧
MSG_WEAPON_INF_33	寄宿有火焰之力的劍
MSG_WEAPON_INF_34	對不死系有特效的大斧\n使用可得到「中淨化」效果
MSG_WEAPON_INF_35	寄宿有冰封之力的劍
MSG_WEAPON_INF_36	使用可得到「閃躲」效果的劍
MSG_WEAPON_INF_37	對不死系有特效的劍
MSG_WEAPON_INF_38	小型的忍者刀
MSG_WEAPON_INF_39	用傳說中的金屬加工而成的頂級寶劍\n寄宿有所有屬性的力量　對全種族有特效
MSG_WEAPON_INF_40	傳說中最強的寶刀
MSG_ARMOR_NAME_01	<IC_CLTH>布衣
MSG_ARMOR_NAME_02	<IC_ARMOR>皮鎧
MSG_ARMOR_NAME_03	<IC_RING>銅手鐲
MSG_ARMOR_NAME_04	<IC_ARMOR>鎖子甲
MSG_ARMOR_NAME_05	<IC_RING>銀手鐲
MSG_ARMOR_NAME_06	<IC_ARMOR>秘銀甲
MSG_ARMOR_NAME_07	<IC_ARMOR>鐵鎧
MSG_ARMOR_NAME_08	<IC_CLTH>白法袍
MSG_ARMOR_NAME_09	<IC_CLTH>黑法袍
MSG_ARMOR_NAME_10	<IC_RING>紅寶石手鐲
MSG_ARMOR_NAME_11	<IC_ARMOR>騎士鎧
MSG_ARMOR_NAME_12	<IC_ARMOR>烈焰甲
MSG_ARMOR_NAME_13	<IC_ARMOR>寒冰鎧
MSG_ARMOR_NAME_14	<IC_RING>鑽石手鐲
MSG_ARMOR_NAME_15	<IC_ARMOR>鑽石鎧
MSG_ARMOR_NAME_16	<IC_ARMOR>龍甲
MSG_ARMOR_NAME_17	<IC_SHIELD>皮盾
MSG_ARMOR_NAME_18	<IC_SHIELD>小圓盾
MSG_ARMOR_NAME_19	<IC_SHIELD>鐵盾
MSG_ARMOR_NAME_20	<IC_SHIELD>守護披風
MSG_ARMOR_NAME_21	<IC_SHIELD>秘銀盾
MSG_ARMOR_NAME_22	<IC_SHIELD>烈焰盾
MSG_ARMOR_NAME_23	<IC_SHIELD>寒冰盾
MSG_ARMOR_NAME_24	<IC_SHIELD>鑽石盾
MSG_ARMOR_NAME_25	<IC_SHIELD>聖盾
MSG_ARMOR_NAME_26	<IC_GLOV>皮手套
MSG_ARMOR_NAME_27	<IC_GLOV>青銅護手
MSG_ARMOR_NAME_28	<IC_GLOV>鋼鐵護手
MSG_ARMOR_NAME_29	<IC_GLOV>秘銀護手
MSG_ARMOR_NAME_30	<IC_GLOV>臂甲
MSG_ARMOR_NAME_31	<IC_GLOV>巨人護手
MSG_ARMOR_NAME_32	<IC_GLOV>鑽石護手
MSG_ARMOR_NAME_33	<IC_GLOV>守護戒指
MSG_ARMOR_NAME_34	<IC_HEAD>皮帽
MSG_ARMOR_NAME_35	<IC_HEAD>緞帶
MSG_ARMOR_NAME_36	<IC_HEAD>頭盔
MSG_ARMOR_NAME_37	<IC_HEAD>大頭盔
MSG_ARMOR_NAME_38	<IC_HEAD>秘銀頭盔
MSG_ARMOR_NAME_39	<IC_HEAD>治癒頭盔
MSG_ARMOR_NAME_40	<IC_HEAD>鑽石頭盔
MSG_ARMOR_INF_01	布製的衣服
MSG_ARMOR_INF_02	皮製的護鎧
MSG_ARMOR_INF_03	由銅金屬加工而成的手鐲
MSG_ARMOR_INF_04	鎖鏈編織的甲衣
MSG_ARMOR_INF_05	由銀金屬加工而成的手鐲
MSG_ARMOR_INF_06	由秘銀加工而成的甲衣
MSG_ARMOR_INF_07	由薄鐵板加工而成的護鎧
MSG_ARMOR_INF_08	能夠有效防禦火焰和致死一擊的法袍\n使用可得到「群隱身」效果
MSG_ARMOR_INF_09	能夠有效防禦寒氣和時空的法袍\n使用可得到「中暴雪」效果
MSG_ARMOR_INF_10	裝飾有紅寶石的手鐲
MSG_ARMOR_INF_11	由厚鋼板加工而成的護鎧
MSG_ARMOR_INF_12	附有火焰之力的甲衣\n能夠有效防禦寒氣
MSG_ARMOR_INF_13	附有寒冰之力的護鎧\n能夠有效防禦火焰
MSG_ARMOR_INF_14	裝飾有鑽石的手鐲
MSG_ARMOR_INF_15	由鑽石加工而成的護鎧\n能夠有效防禦閃電
MSG_ARMOR_INF_16	龍鱗製成的甲衣\n能夠有效防禦火焰、寒氣和閃電
MSG_ARMOR_INF_17	皮製的盾牌
MSG_ARMOR_INF_18	小型的盾牌
MSG_ARMOR_INF_19	鐵製的盾牌
MSG_ARMOR_INF_20	覆在護鎧外側的披風
MSG_ARMOR_INF_21	秘銀製的盾牌
MSG_ARMOR_INF_22	蘊含著火焰之力的盾牌\n能夠有效防禦寒氣
MSG_ARMOR_INF_23	蘊含著寒冰之力的盾牌\n能夠有效防禦火焰
MSG_ARMOR_INF_24	用鑽石製成的盾牌\n能夠有效防禦閃電
MSG_ARMOR_INF_25	能夠提高石化和中毒防禦的盾牌
MSG_ARMOR_INF_26	皮製的手套
MSG_ARMOR_INF_27	用青銅製成的護手
MSG_ARMOR_INF_28	用鋼鐵製成的護手
MSG_ARMOR_INF_29	用秘銀製成的護手
MSG_ARMOR_INF_30	使用可得到「中雷電」效果的護手
MSG_ARMOR_INF_31	使用可得到「勇猛」效果的護手
MSG_ARMOR_INF_32	用鑽石製成的護手
MSG_ARMOR_INF_33	能夠有效防禦致死一擊的戒指
MSG_ARMOR_INF_34	皮製的帽子
MSG_ARMOR_INF_35	能夠有效防禦所有屬性攻擊和異常狀態的緞帶
MSG_ARMOR_INF_36	小型的頭盔
MSG_ARMOR_INF_37	覆蓋整個頭部的頭盔
MSG_ARMOR_INF_38	用秘銀製成的頭盔
MSG_ARMOR_INF_39	使用可得到「治癒」效果的頭盔
MSG_ARMOR_INF_40	用鑽石製成的頭盔
MSG_KEY_NAME_01	<IC_IOBJ>豎琴
MSG_KEY_NAME_02	<IC_IOBJ>王冠
MSG_KEY_NAME_03	<IC_IOBJ>水晶眼
MSG_KEY_NAME_04	<IC_IOBJ>蘇醒藥
MSG_KEY_NAME_05	<IC_IOBJ>神秘鑰匙
MSG_KEY_NAME_06	<IC_IOBJ>黑火藥
MSG_KEY_NAME_07	<IC_IOBJ>堅鋼石
MSG_KEY_NAME_08	<IC_IOBJ>羅塞塔石
MSG_KEY_NAME_09	<IC_IOBJ>星形紅寶石
MSG_KEY_NAME_10	<IC_IOBJ>土之杖
MSG_KEY_NAME_11	<IC_IOBJ>浮游石
MSG_KEY_NAME_12	<IC_IOBJ>鐘琴
MSG_KEY_NAME_13	<IC_IOBJ>鼠尾巴
MSG_KEY_NAME_14	<IC_IOBJ>傳送魔方
MSG_KEY_NAME_15	<IC_IOBJ>妖精之瓶
MSG_KEY_NAME_16	<IC_IOBJ>空氣之水
MSG_KEY_NAME_17	<IC_IOBJ>獨木舟
MSG_KEY_INF_01	能奏出曼妙音色的樂器。
MSG_KEY_INF_02	神秘色彩的王冠。
MSG_KEY_INF_03	晶瑩通透的水晶球。
MSG_KEY_INF_04	能讓人從沉眠之中蘇醒的藥。
MSG_KEY_INF_05	能解開大門上封印的鑰匙。
MSG_KEY_INF_06	有極強爆炸力的火藥。
MSG_KEY_INF_07	以最高強度而聞名的傳說中的金屬。
MSG_KEY_INF_08	寫有古代文字的石板。
MSG_KEY_INF_09	巨大的紅色寶石。
MSG_KEY_INF_10	宿有大地與草木之精靈的手杖。
MSG_KEY_INF_11	在空中漂浮的神秘之石。
MSG_KEY_INF_12	在天空人中聞名的有著清澈音色的鐘。
MSG_KEY_INF_13	勇氣與力量的證明。
MSG_KEY_INF_14	由絢麗多彩的物質所造的立方體。
MSG_KEY_INF_15	裝有妖精的瓶子。
MSG_KEY_INF_16	有無盡的空氣湧出的神秘之水。
MSG_KEY_INF_17	可在湖與河上航行的小船。
MSG_MON_NAME_01	妖精
MSG_MON_NAME_02	妖精守衛
MSG_MON_NAME_03	惡狼
MSG_MON_NAME_04	魔狼
MSG_MON_NAME_05	人狼
MSG_MON_NAME_06	冰狼
MSG_MON_NAME_07	野生蜥蜴
MSG_MON_NAME_08	火焰蜥蜴
MSG_MON_NAME_09	石化蜥蜴
MSG_MON_NAME_10	山嶺巨人
MSG_MON_NAME_11	寒冰巨人
MSG_MON_NAME_12	烈焰巨人
MSG_MON_NAME_13	魚人
MSG_MON_NAME_14	魚人盜賊
MSG_MON_NAME_15	魚人王子
MSG_MON_NAME_16	海賊
MSG_MON_NAME_17	海盜
MSG_MON_NAME_18	鯊魚
MSG_MON_NAME_19	白鯊
MSG_MON_NAME_20	巨瞳
MSG_MON_NAME_21	深瞳
MSG_MON_NAME_22	骨骼戰士
MSG_MON_NAME_23	血髏戰士
MSG_MON_NAME_24	巨型蠕蟲
MSG_MON_NAME_25	巨型爬蟲
MSG_MON_NAME_26	鬣齒狗
MSG_MON_NAME_27	地獄犬
MSG_MON_NAME_28	食人魔
MSG_MON_NAME_29	食人魔盜賊
MSG_MON_NAME_30	食人魔法師
MSG_MON_NAME_31	眼鏡蛇
MSG_MON_NAME_32	巨蟒
MSG_MON_NAME_33	海蛇
MSG_MON_NAME_34	毒蠍
MSG_MON_NAME_35	海蠍
MSG_MON_NAME_36	彌諾陶洛斯
MSG_MON_NAME_37	殭屍彌諾陶洛斯
MSG_MON_NAME_38	巨魔
MSG_MON_NAME_39	海魔
MSG_MON_NAME_40	暗影
MSG_MON_NAME_41	死靈
MSG_MON_NAME_42	幽鬼
MSG_MON_NAME_43	遊魂
MSG_MON_NAME_44	殭屍
MSG_MON_NAME_45	屍鬼
MSG_MON_NAME_46	妖鬼
MSG_MON_NAME_47	屍妖
MSG_MON_NAME_48	紫色巨蟲
MSG_MON_NAME_49	沙地巨蟲
MSG_MON_NAME_50	熔岩巨蟲
MSG_MON_NAME_51	惡魔之眼
MSG_MON_NAME_52	死神之眼
MSG_MON_NAME_53	梅杜莎
MSG_MON_NAME_54	穴居梅杜莎
MSG_MON_NAME_55	人虎
MSG_MON_NAME_56	羅刹
MSG_MON_NAME_57	掘地蜈蚣
MSG_MON_NAME_58	多腳蜈蚣
MSG_MON_NAME_59	猛虎
MSG_MON_NAME_60	劍齒虎
MSG_MON_NAME_61	吸血鬼
MSG_MON_NAME_62	吸血鬼領主
MSG_MON_NAME_63	石像鬼
MSG_MON_NAME_64	長角魔
MSG_MON_NAME_65	土元素
MSG_MON_NAME_66	火元素
MSG_MON_NAME_67	白龍
MSG_MON_NAME_68	紅龍
MSG_MON_NAME_69	殭屍龍
MSG_MON_NAME_70	綠色粘液怪
MSG_MON_NAME_71	灰色泥漿怪
MSG_MON_NAME_72	黃色膠質怪
MSG_MON_NAME_73	黑色布丁
MSG_MON_NAME_74	黑寡婦
MSG_MON_NAME_75	狼蛛
MSG_MON_NAME_76	曼提克
MSG_MON_NAME_77	斯芬克斯
MSG_MON_NAME_78	巴雷塔
MSG_MON_NAME_79	沙漠巴雷塔
MSG_MON_NAME_80	木乃伊
MSG_MON_NAME_81	木乃伊王
MSG_MON_NAME_82	蛇雞獸
MSG_MON_NAME_83	魔雞獸
MSG_MON_NAME_84	雙足飛龍
MSG_MON_NAME_85	雙足巨龍
MSG_MON_NAME_86	躍龍
MSG_MON_NAME_87	霸王龍
MSG_MON_NAME_88	食人魚
MSG_MON_NAME_89	紅食人魚
MSG_MON_NAME_90	巨鱷
MSG_MON_NAME_91	白鱷
MSG_MON_NAME_92	大嘴花
MSG_MON_NAME_93	進化大嘴花
MSG_MON_NAME_94	九頭巨蛇
MSG_MON_NAME_95	九頭火蛇
MSG_MON_NAME_96	守衛機器人
MSG_MON_NAME_97	戰鬥機器人
MSG_MON_NAME_98	水元素
MSG_MON_NAME_99	風元素
MSG_MON_NAME_100	水之那迦
MSG_MON_NAME_101	靈之那迦
MSG_MON_NAME_102	奇美拉
MSG_MON_NAME_103	強化奇美拉
MSG_MON_NAME_104	奪靈魔
MSG_MON_NAME_105	精神吸取者
MSG_MON_NAME_106	加蘭德
MSG_MON_NAME_107	綠龍
MSG_MON_NAME_108	藍龍
MSG_MON_NAME_109	泥土巨像
MSG_MON_NAME_110	岩石巨像
MSG_MON_NAME_111	鋼鐵巨像
MSG_MON_NAME_112	黑騎士
MSG_MON_NAME_113	死亡騎士
MSG_MON_NAME_114	阿斯托斯
MSG_MON_NAME_115	黑暗巫師
MSG_MON_NAME_116	黑暗戰士
MSG_MON_NAME_117	瘋馬
MSG_MON_NAME_118	夢魘
MSG_MON_NAME_119	死亡機器
MSG_MON_NAME_120	巫妖
MSG_MON_NAME_121	馬莉莉絲
MSG_MON_NAME_122	克拉肯
MSG_MON_NAME_123	提亞馬特
MSG_MON_NAME_124	卡奧斯
MSG_MON_ATK_01	吹雪
MSG_MON_ATK_02	烈焰
MSG_MON_ATK_03	凝視
MSG_MON_ATK_04	凝視
MSG_MON_ATK_05	閃光
MSG_MON_ATK_07	地震
MSG_MON_ATK_08	凝視
MSG_MON_ATK_09	凝視
MSG_MON_ATK_10	凝視
