SPEAKER_01	???
MSG_KON_INN_06	Il est toujours bon de se munir de potions, d'antidotes et de produits du même genre.<P>\nCes objets permettent notamment de ne pas gaspiller de sorts et de les conserver pour les moments critiques.<P>\nPassons maintenant aux duvets, tentes et pavillons.<P>\nCes trois objets restaurent les PV et PM de votre équipe, mais ne sont utilisables qu'à l'air libre.<P>\nEn plus de ces objets traditionnels, il est également possible d'utiliser certaines pièces d'équipement.<P>\nPour savoir si une pièce d'équipement est utilisable ou pas, le plus simple est encore de l'essayer !<P>\nPour finir, sachez qu'il existe quelques rares « objets clés ».<P>\nVous en trouverez sans doute plusieurs au cours de vos voyages.<P>\nCertains d'entre eux doivent être utilisés à un endroit bien précis.
MSG_KON_INN_07	Avez-vous une minute pour que je vous parle des monstres ?
MSG_KON_INN_08	On dénombre différentes familles de monstres, chacune ayant ses propres forces et faiblesses.<P>\nSi vous découvrez ce que craint une créature, vous n'aurez aucun mal à la vaincre par la suite.<P>\nPar exemple, les monstres aquatiques sont très sensibles aux effets de la foudre.<P>\nAinsi, lorsque vous lancez le sort Foudre, ils subissent de sévères dégâts.<P>\nRetenez aussi que certaines armes sont particulièrement efficaces contre une famille spécifique de monstres.
MSG_KON_CAS_01	Je suis Jeanne, la reine de Cornélia. Je vous en prie... ramenez-moi ma petite Sarah...
MSG_KON_CAS_02	Vous avez sauvé ma Sarah. Je ne pourrai jamais assez vous remercier.
MSG_KON_CAS_03	Ma s-s-sœur... Snif ! Rendez-moi ma s-sœur !
MSG_KON_CAS_04	Ma sœur est de retour ! Et tout ça grâce à vous ! Vous méritez que je vous embrasse... Mwah !
MSG_KON_CAS_05	Le roi recherche désespérément les Guerriers de la Lumière dont parle la légende.<P>\nM-mais... Ces Cristaux ! Seriez-vous... ?!
MSG_KON_CAS_06	On m'a confié la lourde tâche de garder le Château de Cornélia !<P>\nMais pour tout vous dire, une telle responsabilité me rend un peu nerveux.
MSG_KON_CAS_07	Sa Majesté est accablée de chagrin. Elle s'est enfermée dans sa chambre. Mieux vaut la laisser se reposer.
MSG_KON_CAS_08	L-les Guerriers de la Lumière ! Merci d'avoir sauvé dame Sarah !
MSG_KON_CAS_09	Je vous en supplie, sauvez dame Sarah !
MSG_KON_CAS_10	Êtes-vous... les Guerriers de la Lumière ? Ceux de la prophétie de Lukahn ?
MSG_KON_CAS_11	Il fut une époque où Garland était le plus grand chevalier du royaume.<P>\nMais il s'est lentement fait ronger par le pouvoir, jusqu'à oublier qui il était vraiment.
MSG_KON_CAS_12	Depuis des générations, les princesses de Cornélia gardent sans relâche le fabuleux Luth.<P>\nOn raconte qu'il possède un pouvoir secret capable de briser la porte du Mal...
MSG_KON_CAS_13	Nos ancêtres ont enfermé des armes dans ces salles, il y a quatre cents ans...<P>\nIls en ont confié la clé au roi des elfes afin qu'il la conserve jusqu'à la venue des Guerriers de la Lumière.
MSG_KON_CAS_14	La porte de la salle des trésors du château a été verrouillée avec la Clé mystique.
MSG_KON_CAS_16	Le temps est venu d'utiliser la Clé mystique et d'ouvrir les portes...<P>\nL'équipement caché dans ces salles doit être fantastique !
MSG_KON_CAS_17	Les Guerriers de la Lumière sont enfin arrivés ! Nous vous attendions depuis si longtemps !<P>\nGarland, un ancien chevalier, m'a trahi et a enlevé ma fille.<P>\nJe sais que je peux compter sur vous, alors je vous en prie : ramenez-moi ma Sarah au plus vite !
MSG_KON_CAS_18	Les pensées de Sarah vous accompagneront à tout jamais.
MSG_KON_CAS_20	Si vous le vouliez, vous pourriez... vous savez... ici, à Cornélia...<P>\nE-euh... Non, je n'ai rien dit !!<P>\nVous devez vous préparer, un long périple vous attend. Allez restaurer l'éclat des quatre Cristaux !
MSG_KON_CAS_23	Tous nos rapports indiquent que Garland a emmené la princesse vers le nord, au Temple du chaos.
MSG_KON_CAS_25	La danseuse de la ville est toujours au courant de tout.<P>\nSi vous vous égarez en chemin, pensez à aller la voir. Elle saura sûrement vous remettre sur la voie...
MSG_KON_CAS_26	Vous obtenez de la Dynamite !
MSG_EKKEN_01	Le roi recherche désespérément les Guerriers de la Lumière dont parle la légende.<P>\nM-mais... Ces Cristaux ! Allez vite voir le roi !
MSG_EKKEN_02	Bienvenue, voyageurs. On me dit que vous portez des Cristaux. Est-ce exact ?
MSG_EKKEN_03	La prophétie de Lukahn disait donc vrai : « Devant les ténèbres, quatre Guerriers de Lumière se dresseront. »
MSG_EKKEN_04	Majesté, nous ne pouvons être sûrs que ces guerriers sont bien ceux de la prophétie.
MSG_EKKEN_05	Ils se sont présentés à nous avec les Cristaux. Je doute qu'il s'agisse d'une simple coïncidence.<P>\nPorteurs des Cristaux, j'ai une tâche à vous confier.<P>\nJ'ai besoin que vous alliez sauver ma fille, Sarah...
MSG_EKKEN_06	Garland, un ancien chevalier de Sa Majesté, a enlevé la princesse Sarah.<P>\nJe vous implore de nous aider, au nom du royaume de Cornélia.<P>\nGarland s'est réfugié dans le Temple du chaos, au nord de ce château.<P>\nNous avons bien tenté de secourir la princesse nous-mêmes, mais Garland est un combattant valeureux.<P>\nPersonne jusqu'à présent n'a réussi à lui tenir tête.
MSG_EKKEN_07	J'ai appris que vous souhaitiez poursuivre votre voyage en direction du nord.<P>\nLe pont qui conduit vers les terres du nord s'est effondré, il y a bien longtemps.<P>\nSi vous me ramenez Sarah, je vous promets de le faire reconstruire en gage de ma gratitude.<P>\nAllez maintenant, Guerriers de la Lumière, et revenez victorieux !
MSG_HELPSERA_04	Merci d'avoir ramené ma fille à mes côtés.<P>\nVous êtes les Guerriers de la prophétie de Lukahn, cela ne fait plus aucun doute !<P>\nÉcoutez donc la prophétie dans sa totalité : « Devant les ténèbres, quatre Guerriers de Lumière se dresseront. »<P>\n« S'ils ne restaurent pas l'éclat des quatre Cristaux, les ténèbres emporteront tout. »<P>\n« De leur réussite, dépendra le salut du monde entier... »<P>\nJ'ai appris qu'un de ces Cristaux est caché sur le continent du nord.<P>\nJe vous en conjure, ravivez l'éclat des Cristaux.<P>\nC'est la seule façon de débarrasser le monde des monstres qui le gangrènent !
MSG_HELPSERA_05	Comme promis, je vais faire reconstruire le pont, au nord.<P>\nJe prierai pour que vous réussissiez à restaurer l'éclat des Cristaux...<P>\nBonne chance, Guerriers de la Lumière !
MSG_LUTE_01	Attendez !
MSG_LUTE_02	Les princesses de Cornélia gardent ce Luth depuis des générations.<P>\nQuand Garland m'a enlevée, il a pris ce Luth par la même occasion.<P>\nAujourd'hui, j'aimerais vous le confier. Considérez-le comme ma modeste contribution à votre voyage.
MSG_LUTE_03	Vous obtenez le Luth !
MSG_CHS_01	Kii ! Kii !
MSG_CHS_02	Le Cristal noir envoyait dans le passé le pouvoir que les quatre Démons absorbaient des Cristaux.<P>\nNous avons tant cherché celui qui accaparait la lumière des Cristaux...<P>\nMais cette fois, ça y est. La source du Mal est toute proche...
MSG_CHS_03	Le Cristal noir émet une lumière sinistre. Même l'air de la pièce semble... déformé.
MSG_CHS_04	La porte est verrouillée.
MSG_CHS_06	La lumière... la lumière des quatre ! Nous l'avons tant cherchée !<P>\nCette lumière peut ouvrir les Portes du Temps !<P>\nCelles-ci vous conduiront deux mille ans dans le passé, au moment précis où la boucle temporelle s'est formée.
MSG_CHS_08	Dirigez l'éclat des quatre Cristaux sur le Cristal noir !<P>\nAinsi, vous ouvrirez un portail menant directement au temple tel qu'il existait il y a deux mille ans.
MSG_CHS_10	Nous appartenons au peuple du Ciel.<P>\nNous sommes venus dans ce temple pour découvrir ce qui était à l'origine de la ruine du monde.<P>\nC'était il y a quatre cents ans...
MSG_CHS_12	Le sortilège des Démons nous a transformés en chauves-souris et privés de la parole.<P>\nC'est l'éclat des Cristaux qui nous permet de parler à nouveau !
MSG_CHS_14	La porte a été verrouillée avec la Clé mystique.
MSG_FUSION_01	Vous concentrez l'éclat des quatre Cristaux sur le Cristal noir.<P>\nL'avenir et le passé se replient sur eux-mêmes, ouvrant un portail spatio-temporel devant vous.<P>\nEncore un pas, et vous ferez un bond de deux mille ans en arrière !
MSG_HELPSERA_01	Le roi n'a pas le choix. S'il veut revoir sa fille, il doit me donner son royaume ! Ha ha ha !
MSG_HELPSERA_02	Qui va là ?!<P>\nPff, les envoyés du roi... Savez-vous seulement à qui vous avez affaire ?<P>\nVous pensez être de taille face à MOI, Garland ? Très bien...<P>\nC'est donc avec plaisir que je vais vous écraser !
MSG_HELPSERA_03	Vous... Vous êtes venus me sauver ? Jamais je ne pourrai vous remercier suffisamment...<P>\nJe suis Sarah, la princesse de Cornélia.<P>\nPersonne n'avait réussi à vaincre Garland jusqu'à présent.<P>\nPermettez-moi de vous témoigner ma gratitude. Accompagnez-moi donc jusqu'au Château de Cornélia.
MSG_LAST_01	Vous vous souvenez de moi ? J'étais autrefois un chevalier de Cornélia.
MSG_LAST_02	Dans une époque située deux mille ans dans le futur, vous m'avez tué. Oui, c'est bien moi, Garland.
MSG_LAST_03	Détrompez-vous, vous m'avez bel et bien vaincu.<P>\nCependant, les quatre forces de la nature m'ont sauvé malgré elles en me jetant dans le passé !
MSG_LAST_04	À peine arrivé ici, j'ai expédié les quatre Démons dans le futur...
MSG_LAST_05	... afin qu'ils se resservent des quatre forces pour me renvoyer dans le passé !
MSG_LAST_06	Dans deux mille ans, j'aurai oublié tous ces événements.
MSG_LAST_07	Mais je ressusciterai une fois de plus ici.<P>\nAlors vous reviendrez pour me tuer, comme maintenant... mais c'est moi qui vous éliminerai !<P>\nÀ chacune de vos morts, je renaîtrai de mes cendres !<P>\nLe cycle infini que j'ai créé me conférera la vie éternelle ! Ha ha ha !!
MSG_BRIDGE_01	Sa Majesté nous ordonne de remplir notre rôle pour que la prophétie de Lukahn s'accomplisse !
MSG_BRIDGE_02	Quel rapport ce pont peut-il avoir avec la prophétie ?
MSG_BRIDGE_03	Les quatre Guerriers de la Lumière sont arrivés... Ils sont ici, à Cornélia !
MSG_PRL_01	Ainsi commença leur quête.\n\nLes quatre Guerriers de la Lumière se sentaient profondément\nintimidés par la lourdeur de la tâche qui leur incombait.\n\nIls ne connaissaient pas encore le véritable pouvoir\ndes Cristaux qu'ils tenaient entre leurs mains...\n\nCes mêmes Cristaux qui, autrefois, avaient brillé\nde l'éclat le plus vif qui soit.\n\nIl était maintenant temps pour eux de débarrasser le monde\ndes ténèbres et de le ramener dans le règne de la lumière...
MSG_SHIP_01	Vous devez être inconscients pour vous attaquer à Bikke le pirate !<P>\nÀ l'assaut, matelots !
MSG_SHIP_02	Oui, capitaine !
MSG_SHIP_03	Excusez-moi, excusez-moi ! Je ne ferai plus rien de mal, c'est promis !<P>\nPour vous prouver ma bonne volonté, je vous offre mon Bateau !<P>\nPeut-être trouverez-vous un jour dans vos cœurs la force de pardonner à un vieux pirate...
MSG_SHIP_04	Vous obtenez un Bateau !
MSG_PBK_01	Aidez-nous, s'il vous plaît !
MSG_PBK_02	La mer d'Aldéa regorge de monstres, méfiez-vous !
MSG_PBK_03	Ces horribles pirates passent leur temps à piller le village comme s'il leur appartenait !
MSG_PBK_04	Je ne crois pas qu'il y ait d'autres ports au nord. Donc il est impossible d'y accoster en Bateau !
MSG_PBK_05	Je vais changer, je vous le jure !<P>\nJe vais me ranger et travailler dur pour la ville.<P>\nVous me croyez... hein ?
MSG_PBK_06	Grâce à vous, nous n'avons plus rien à craindre des pirates !<P>\nMerci beaucoup !
MSG_PBK_07	Une nation d'elfes est installée de l'autre côté de la mer !<P>\nMais on raconte que le prince des elfes est tombé dans un sommeil maléfique...
MSG_PBK_08	Je suis originaire de Melmond, une cité qui s'étend à l'ouest d'ici.<P>\nJ'ai quitté ma ville parce qu'elle devenait inhabitable.<P>\nLa terre se meurt là-bas et des hordes de monstres attaquent la nuit.<P>\nPensez-vous pouvoir faire quelque chose ?
MSG_PBK_09	Qu'est-ce que vous venez faire ici ? Vous cherchez des ennuis ? Vous voulez que Bikke se rebique ?!
MSG_ELF_CAS_01	Un maléfice d'Astos a plongé notre prince dans un sommeil permanent.<P>\nJe vous en prie, aidez notre seigneur à vaincre ce sortilège.
MSG_ELF_CAS_02	Une créature vile se cache dans la caverne, à l'ouest.<P>\nLe pourrissement de la terre est son œuvre, je le sais !
MSG_ELF_CAS_04	Nous, les elfes, sommes les gardiens de la Clé mystique.<P>\nQuand les Guerriers de la Lumière se présenteront à nous, nous la leur confierons.
MSG_ELF_CAS_05	J'ai entendu parler d'une sorcière capable de concocter toutes sortes de potions.<P>\nElle s'appelait... euh... Matoya, je crois !
MSG_ELF_CAS_06	Vous avez un Sel médicinal ? Il pourrait sûrement réveiller le prince !
MSG_ELF_CAS_07	Astos, le roi des elfes noirs, s'est infiltré dans le château pour plonger notre prince dans un sommeil forcé.<P>\nEn plus, il en a profité pour voler tous nos trésors...
MSG_ELF_CAS_08	Le prince s'est réveillé ! Merci !
MSG_ELF_CAS_09	Les nains vivent dans une grotte, à l'extrémité ouest de la mer d'Aldéa.<P>\nCe sont tous de joyeux lurons !
MSG_ELF_CAS_10	La porte de la salle des trésors du château a été verrouillée avec la Clé mystique.
MSG_ELF_CAS_11	Le prince est sous l'emprise de la malédiction d'Astos depuis cinq ans, maintenant.<P>\nIl y a forcément un remède qui pourrait le tirer de son sommeil... mais lequel ?
MSG_ELF_CAS_12	Grâce à vous, le prince s'est enfin réveillé. Je ne sais comment vous remercier.<P>\nVous avez ramené la paix à Elfia.
MSG_ELF_CAS_13	Zzz...
MSG_ELF_CAS_14	Vous m'avez libéré de ce sommeil maléfique.<P>\nMerci, Guerriers de la Lumière !
MSG_AWAKEELF_01	Ce Sel médicinal pourrait bien être le seul remède capable de dissiper le maléfice qui pèse sur le prince !<P>\nJe vais l'essayer tout de suite !
MSG_AWAKEELF_02	Votre Altesse ? Votre Altesse !
MSG_AWAKEELF_03	J'ai fait un... terrible cauchemar... Suis-je encore... en train de rêver ?
MSG_AWAKEELF_04	Vous... vous êtes les guerriers de la légende ! Alors, tout ceci n'est pas un rêve...<P>\nAinsi, la prophétie de mes ancêtres va bel et bien s'accomplir.<P>\nJe vais pouvoir rendre la Clé mystique à ses propriétaires légitimes.
MSG_AWAKEELF_05	Vous obtenez la Clé mystique !
MSG_ELF_CTY_01	Nous ne savons plus quoi faire. Je vous en prie, aidez notre prince !
MSG_ELF_CTY_02	Le prince s'est réveillé ! Merci !
MSG_ELF_CTY_03	Si le prince ne se réveille pas, nous n'aurons plus de roi et serons à la merci de l'elfe noir...
MSG_ELF_CTY_04	Une légende dit qu'un Vaisseau, un véritable bateau volant, est enfoui quelque part dans ce monde.
MSG_ELF_CTY_05	Nul ne sait où est parti Astos, le roi des elfes noirs.
MSG_ELF_CTY_07	Un jour, j'ai organisé une expédition vers l'ouest. J'y ai trouvé un très vieux château.<P>\nJe n'ai rencontré personne à l'intérieur. Pire encore, le fort entier dégageait quelque chose d'effrayant...
MSG_ELF_CTY_08	Vous avez vaincu Astos et ramené la paix à Elfia !
MSG_ELF_CTY_09	Notre prince aurait dû devenir le roi des elfes, mais que va-t-il se passer maintenant ?
MSG_ELF_CTY_11	Les armes et armures de mithril sont très résistantes. Vous devriez les essayer !
MSG_ELF_CTY_12	Je suis un sage. Le futur se révèle toujours à moi en temps voulu. Il me suffit d'attendre patiemment.
MSG_ELF_CTY_13	Le pouvoir de l'Aérolithe se manifestera dans la mer de sable, au sud du croissant !
MSG_ELF_CTY_15	L'Aérolithe dort dans de sombres abysses, au nord de la montagne fumante.<P>\nC'est là que votre destin vous attend...
MSG_ELF_CTY_16	Ci-gît Link.
MSG_ELF_CTY_17	C'est une tombe.
MSG_WST_CAS_01	Astos, le roi des elfes noirs, s'est joué de moi. À cause de lui, mon château est en ruine.<P>\nSi seulement j'avais ma Couronne, je pourrais faire reconstruire mon château...<P>\nPensez-vous être capables de la récupérer pour moi ? Elle est cachée au fin fond des Galeries du marais...
MSG_WST_CAS_02	Kii ! Kii !
MSG_WST_CAS_03	La porte a été verrouillée avec la Clé mystique.
MSG_ASTOS_01	Muwahaha !<P>\nVous êtes tombés dans mon piège !<P>\nJe suis Astos, le roi des elfes noirs !
MSG_ASTOS_02	En combinant les pouvoirs de la Couronne que vous m'avez apportée et de mon Œil de cristal...<P>\nJe vais devenir le VRAI roi des elfes !
MSG_ASTOS_03	Inutile de résister ! Je reprendrai mon dû... par la force, s'il le faut !
MSG_ASTOS_04	Vous obtenez l'Œil de cristal !
MSG_PND_01	Kii ! Kii !
MSG_PND_02	La porte a été verrouillée avec la Clé mystique.
MSG_GET_CROWN_01	Vous obtenez la Couronne !
MSG_AWAKEPOT_01	Qu'avez-vous là ? Mais... C'est mon Œil de cristal ?! Donnez-le-moi !<P>\nRassurez-vous, j'ai quelque chose à vous offrir en échange. Prenez cette préparation.<P>\nC'est la plus étonnante de toute ma collection !
MSG_AWAKEPOT_02	Hourra ! Je vois à nouveau ! Je vois !!
MSG_AWAKEPOT_03	Vous obtenez un Sel médicinal !
MSG_MATOYA_01	Boum !<P>\nAïe !
MSG_MATOYA_02	Mon œil... Mon œil !
MSG_MATOYA_03	Je suis complètement aveugle sans mon Œil de cristal !
MSG_MATOYA_04	Qui a osé me le voler ?!
MSG_MAT_02	Vous êtes toujours là ? Je n'ai plus besoin de vous, du balai !<P>\nPff ! En plus, je pensais que vous seriez plus attirants...
MSG_MAT_03	A-vant, a-rrière, et un coup d'balai !<P>\nVoici la formule, d'un bien étrange sort !<P>\n« TL terel un naeh cuot ! »
MSG_MAT_04	A-vant, a-rrière, et un coup d'balai !<P>\nVoici la formule, d'un bien étrange sort !<P>\n« Et racnot uobel rustne meugnol zeyuppa ! »
MSG_DWF_CAV_01	Si seulement j'avais de l'Adamantine ! Je pourrais forger une épée tout bonnement épatante...
MSG_DWF_CAV_02	Je suis sûr que vous saurez utiliser le pouvoir tout bonnement fabuleux d'Excalibur !
MSG_DWF_CAV_03	Avec un Œil de cristal, même les aveugles retrouvent la vue.<P>\nIl paraît que l'elfe noir, Astos, a tout bonnement volé celui dont Matoya se servait tout le temps.
MSG_DWF_CAV_04	La terre est en train de mourir.<P>\nCe phénomène tout bonnement odieux a démarré à l'ouest, mais il commence à se répandre partout !
MSG_DWF_CAV_05	La terre a retrouvé sa jeunesse, c'est tout bonnement fantastique !
MSG_DWF_CAV_06	Vous avez rencontré notre forgeron ? Il est tout bonnement dans sa forge !
MSG_DWF_CAV_07	Quel vacarme ! C'est encore Nerrick qui doit tout bonnement creuser au fond de la grotte.
MSG_DWF_CAV_08	Ce Nerrick, c'est un sacré nain ! Le genre qui fait tout bonnement la fierté de sa tribu !
MSG_DWF_CAV_09	Lali-ho !
MSG_DWF_CAV_10	Pour se défendre, il n'y a pas que les armures de corps.<P>\nL'usage d'un brassard peut être tout bonnement aussi efficace.
MSG_DWF_CAV_12	Vous avez vu le canal ? Ce Nerrick est un type tout bonnement stupéfiant !
MSG_DWF_CAV_13	Je suis à la recherche de l'Aérolithe.<P>\nIl paraît que c'est une pierre qui flotte tout bonnement dans les airs ! C'est vrai, je vous assure !
MSG_DWF_CAV_14	Je me demande s'il n'y aurait pas tout bonnement de la Dynamite dans la salle des trésors du château...
MSG_DWF_CAV_16	Rahh !! Il y a un énorme rocher qui m'empêche tout bonnement d'avancer !<P>\nAlors que je suis à deux doigts de terminer mon canal !<P>\nSi seulement j'avais de la Dynamite, je réduirais tout bonnement ce rocher en poussière !
MSG_DWF_CAV_17	Hep là ! Celles-ci sont faites pour la décoration, pas pour le combat !
MSG_DWF_CAV_18	La porte a été verrouillée avec la Clé mystique.
MSG_CANAL_01	De la Dynamite !<P>\nAvec cet explosif, on va tout bonnement pouvoir creuser un canal en moins de deux !<P>\nBien joué, les p'tits !
MSG_CANAL_02	C'est parti !
MSG_CANAL_03	On va tout bonnement réduire ce rocher en miettes !
MSG_CANAL_04	Qu'est-ce que vous attendez ?<P>\nLa Dynamite va exploser ! Ne restez pas dans le coin !
MSG_CANAL_05	Je me demande ce qu'il y a de l'autre côté du canal !
MSG_GET_EXCALIBER_01	Qu'avez-vous là ? De... l'Adamantine ?!
MSG_GET_EXCALIBAR_02	Fantastique ! Je vais m'en servir pour vous fabriquer une épée tout bonnement prodigieuse !
MSG_GET_EXCALIBAR_03	J'ai terminé ! De toute ma vie, c'est tout bonnement la plus belle épée que j'aie jamais forgée !
MSG_GET_EXCALIBAR_04	Allez-y, prenez-la. Elle est à vous !
MSG_GET_EXCALIBAR_05	Vous obtenez Excalibur !
MSG_LEARN_01	Excusez-moi... Puis-je examiner cette pierre ?
MSG_LEARN_02	M-mais... c'est la Pierre rosetta !
MSG_LEARN_03	Ses inscriptions expliquent comment déchiffrer la langue de Lufénia !
MSG_LEARN_04	Hmm... Mais c'est évident ! Voilà pourquoi je ne comprenais pas ! Tout est plus clair, maintenant !
MSG_LEARN_05	Pour vous remercier, laissez-moi vous enseigner le lufénien.<P>\nVous allez voir, contrairement aux apparences, c'est une langue facile !
MSG_LEARN_06	Et voilà ! Désormais, vous aussi vous parlez le lufénien !
MSG_MMD_CTY_01	La terre est en train de pourrir à cause du vampire qui hante la Caverne Terra.<P>\nNotre ville est en piteux état depuis qu'il bloque le flux des forces de la terre.<P>\nPourriez-vous l'arrêter pour nous ?
MSG_MMD_CTY_02	Autrefois, Melmond était une ville splendide, bénie par les richesses de la terre.
